$ nm init7 
080492f5 T _376
08049351 T _433
0804d990 T abort
0804a100 T access
08057254 B __app_fini
08054b60 D __atexit_lock
0804e194 T atoi
0804e194 T atol
0804c454 T bcopy
08057240 b been_there_done_that
0805725c b been_there_done_that.2832
0804c93c T bind
08049648 T bindport
0805077c T brk
08050654 T __bsd_signal
08050654 T bsd_signal
08054ba8 A __bss_start
08057060 b buf.4993
08051ac0 r C.28.3340
08048c23 T cback
08054b7c D __C_ctype_b
080530e0 R __C_ctype_b_data
08054b84 D __C_ctype_tolower
080533e0 R __C_ctype_tolower_data
08054918 D __C_ctype_toupper
08051f00 R __C_ctype_toupper_data
080574c8 B chan
08054be0 B changeservers
0804b1d0 t _charpad
0804ebc8 T chdir
0804e777 t __check_one_fd
0804a134 T chmod
0804a81c T clock
0804ebf8 T clock_getres
0804a168 W close
08054bc0 b completed.2429
08049411 T con
0804c968 W connect
08048614 T cp
0804a4bf W creat
0805484c d __CTOR_END__
08054848 d __CTOR_LIST__
08054b80 D __ctype_b
08054b88 D __ctype_tolower
0805491c D __ctype_toupper
08057284 B __curbrk
0804e344 T daemon
080496d4 T daemonize
08054888 D __data_start
08054888 W data_start
080512cc T __decode_answer
080517e0 T __decode_dotted
080511ac T __decode_header
         w __deregister_frame_info_bases
080572a0 B dispass
08050768 T _dl_aux_init
08057900 B _dl_phdr
08057904 B _dl_phnum
0804fc44 T __dns_lookup
08051900 t __do_global_ctors_aux
080480c0 t __do_global_dtors_aux
08054880 D __dso_handle
08054854 d __DTOR_END__
08054850 d __DTOR_LIST__
0804a198 T dup
0804a1c8 T dup2
08054ba8 A _edata
08053844 r __EH_FRAME_BEGIN__
08051750 T __encode_dotted
080510f8 T __encode_header
08051258 T __encode_question
08057908 A _end
0805724c V environ
0805724c B __environ
08057260 B errno
08057260 V _errno
0804a814 W __errno_location
080573c0 B execfile
0804e3f4 T execl
0804a1fc T execve
0804e2dc T exit
0804a0d8 T _exit
08057244 B __exit_cleanup
08053720 r exp10_table
0804a840 T fclose
0804eaf4 W fcntl
0804eb4c W fcntl64
0804efbc T fdopen
0804bdcc T feof
0804bf68 T fflush_unlocked
0804f930 T __fgetc_unlocked
0804f930 T fgetc_unlocked
0804be20 T fgets
0804c0ac T fgets_unlocked
080483ba T filter
08051928 T _fini
08054848 a __fini_array_end
08054848 a __fini_array_start
08055040 b _fixed_buffers
080548ac D flooders
080536f0 r fmt
0804a94c T fopen
0804a234 W fork
0804f36c T _fpmaxtostr
0804b206 t _fp_out_narrow
0804aa1c T fprintf
0804c118 T __fputc_unlocked
0804c118 T fputc_unlocked
0804c1e0 T fputs_unlocked
08048110 t frame_dummy
08053844 r __FRAME_END__
0804d7d1 T free
08050838 T fseek
08050838 T fseeko
08050854 T fseeko64
0804c214 T fwrite_unlocked
0804f930 T getc_unlocked
0804a25c T getcwd
0804a318 T getdtablesize
0804ec2c T getegid
0804ec54 T geteuid
0804ec7c T getgid
0804c5d8 T gethostbyname
0804c608 T gethostbyname_r
080505dc T __get_hosts_byname_r
0804a340 T getpagesize
0804a340 T __getpagesize
080480b0 T __get_pc_thunk_bx
0804a354 W getpid
0804a37c T getppid
0804a3a4 T getrlimit
0804a3d8 T gettimeofday
0804a40c T getuid
0804d990 T __GI_abort
0804e194 T __GI_atoi
0804e194 T __GI_atol
0804c93c T __GI_bind
0805077c T __GI_brk
08054b7c D __GI___C_ctype_b
080530e0 R __GI___C_ctype_b_data
08054b84 D __GI___C_ctype_tolower
080533e0 R __GI___C_ctype_tolower_data
08054918 D __GI___C_ctype_toupper
08051f00 R __GI___C_ctype_toupper_data
0804ebc8 T __GI_chdir
0804a134 T __GI_chmod
0804ebf8 T __GI_clock_getres
0804a168 W __GI_close
0804c968 W __GI_connect
08054b80 D __GI___ctype_b
08054b88 D __GI___ctype_tolower
0805491c D __GI___ctype_toupper
0804a1c8 T __GI_dup2
08057260 B __GI_errno
0804a814 W __GI___errno_location
0804e3f4 T __GI_execl
0804a1fc T __GI_execve
0804e2dc T __GI_exit
0804a0d8 T __GI__exit
0804a840 T __GI_fclose
0804eaf4 W __GI_fcntl
0804eb4c T __GI_fcntl64
0804efbc T __GI_fdopen
0804bf68 T __GI_fflush_unlocked
0804f930 T __GI___fgetc_unlocked
